"DAX" "Dow Jones" "Nikkei" "VIX"
5940.97998 9743.620117 9338.040039 1836.212241
5992.859863 10018.280273 9279.650391 1721.049034
6035.660156 10138.990234 9535.740234 1678.822561
6065.240234 10198.030273 9585.320312 1634.676659
6077.189941 10216.269531 9548.110352 1614.843042
6191.129883 10363.019531 9537.230469 1599.487972
6209.759766 10366.719727 9795.240234 1658.988944
6149.359863 10359.30957 9685.530273 1644.273684
6040.27002 10097.900391 9408.360352 1751.119486
6009.109863 10154.429688 9408.360352 1697.37668
5967.490234 10229.959961 9300.459961 1610.364495
5990.379883 10120.530273 9278.830078 1625.079755
6142.149902 10322.299805 9220.879883 1539.987
6166.339844 10424.620117 9430.959961 1513.115597
6194.209961 10525.429688 9503.660156 1460.012602
6207.310059 10537.69043 9496.849609 1448.496269
6178.939941 10497.879883 9753.269531 1463.211651
6134.700195 10467.160156 9696.019531 1460.652411
6147.970215 10465.94043 9537.299805 1444.017722
6292.129883 10674.379883 9570.30957 1358.285157
6307.910156 10636.379883 9694.009766 1377.479086
6331.330078 10680.429688 9489.339844 1378.118895
6333.580078 10674.980469 9653.919922 1381.957632
6259.629883 10653.55957 9642.120117 1369.16168
6351.600098 10698.75 9572.490234 1348.688253
6286.25 10644.25 9551.049805 1362.763704
6154.069824 10378.830078 9292.849609 1461.292221
6135.169922 10319.950195 9212.589844 1481.125838
6110.410156 10303.150391 9253.459961 1521.433003
6110.569824 10302.009766 9196.669922 1510.55648
6206.399902 10405.849609 9161.679688 1450.415698
6186.310059 10415.540039 9240.540039 1421.624866
6075.129883 10271.209961 9362.679688 1484.324887
6005.160156 10213.620117 9179.379883 1461.292221
6010.910156 10174.410156 9116.69043 1443.377912
5935.439941 10040.450195 8995.139648 1487.523814
5899.5 10060.05957 8845.389648 1450.415698
5912.580078 9985.80957 8906.480469 1465.130958
5951.169922 10150.650391 8991.05957 1375.559656
5912.410156 10009.730469 9149.259766 1419.065749
5925.220215 10014.719727 8824.05957 1404.990176
6083.899902 10269.469727 8927.019531 1319.897421
6083.850098 10320.099609 9062.839844 1282.789305
6134.620117 10447.929688 9114.129883 1220.729216
6155.040039 10447.929688 9301.320312 1220.729216
6117.890137 10340.69043 9226 1253.998595
6164.439941 10387.009766 9024.599609 1231.605739
6221.52002 10415.240234 9098.389648 1211.772122
6214.77002 10462.769531 9239.169922 1186.180339
6261.680176 10544.129883 9321.820312 1124.759937
6275.410156 10526.490234 9299.30957 1124.120127
6261.870117 10572.730469 9516.55957 1107.485438
6249.649902 10594.830078 9509.5 1111.963985
6209.759766 10607.849609 9626.089844 1097.888534
6294.580078 10753.620117 9626.089844 1070.377322
6275.97998 10761.030273 9602.110352 1074.216181
6208.330078 10739.30957 9566.320312 1091.490558
6184.709961 10662.419922 9566.320312 1127.319177
6298.299805 10860.259766 9471.669922 1063.979345
6278.890137 10812.040039 9603.139648 1071.656941
6276.089844 10858.139648 9495.759766 1062.060038
6246.919922 10835.280273 9559.379883 1083.173274
6229.02002 10788.049805 9369.349609 1106.20594
6211.339844 10829.679688 9404.230469 1090.21106
6134.209961 10751.269531 9381.05957 1111.324297
6215.830078 10944.719727 9518.759766 1051.823325
6270.72998 10967.650391 9691.429688 1039.027372
6276.25 10948.580078 9684.80957 1032.629396
6291.669922 11006.480469 9588.879883 985.284567
6309.509766 11010.339844 9588.879883 966.730508
6304.569824 11020.400391 9388.639648 927.703024
6434.52002 11096.080078 9403.509766 908.509156
6455.27002 11094.570312 9583.509766 940.498915
6492.299805 11062.780273 9500.25 922.584667
